indic_is,ind_type,unit,geo\time	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
I_IUMD,I3_4,PC_IND,SI	30.13 	37.63 	41.27 	50.10 	52.13 	61.90 	66.42 	74.63 
I_IUMD,I3_4,PC_IND,SK	31.71 	36.05 	43.86 	47.36 	55.44 	59.56 	57.67 	67.10 
I_IUMD,I3_4,PC_IND,TR	24.75 	39.43 	54.84 	64.34 	78.98 	86.85 	85.70 	92.64 
I_IUMD,I3_4,PC_IND,UK	63.90 	67.66 	73.63 	83.24 	82.79 	85.01 	83.13 	88.67 b
I_IUMD,I3_4,PC_IND,XK	: 	: 	: 	: 	: 	79.84 	82.98 	84.16 
I_IUMD,I5_8,PC_IND,AL	: 	: 	: 	: 	: 	: 	89.77 	94.38 
I_IUMD,I5_8,PC_IND,AT	57.43 	65.00 	75.28 	78.47 	80.17 	88.03 	85.71 	94.09 
I_IUMD,I5_8,PC_IND,BA	: 	: 	: 	: 	: 	: 	92.81 	83.51 
I_IUMD,I5_8,PC_IND,BE	56.54 	60.09 	73.71 	80.94 	84.34 	87.02 	89.17 	94.59 
I_IUMD,I5_8,PC_IND,BG	32.02 	41.42 	51.40 	66.19 	71.48 	82.93 	82.43 	88.32 
I_IUMD,I5_8,PC_IND,CH	: 	: 	72.99 	: 	: 	80.15 b	: 	94.88 
I_IUMD,I5_8,PC_IND,CY	42.32 	46.66 	64.95 	80.46 	81.35 	89.09 	92.27 	94.30 
I_IUMD,I5_8,PC_IND,CZ	: u	50.46 	59.99 	69.43 	: bu	80.71 	86.69 	91.23 
I_IUMD,I5_8,PC_IND,DE	41.31 	52.86 	65.01 	71.43 	76.66 	85.28 	86.31 	86.85 
I_IUMD,I5_8,PC_IND,DK	72.53 	74.68 	85.43 	: u	91.77 	92.23 b	94.55 	96.30 
I_IUMD,I5_8,PC_IND,EA	51.88 	61.06 	71.02 	74.41 	77.47 	82.87 	85.12 	88.79 
I_IUMD,I5_8,PC_IND,EE	47.68 	57.06 	73.09 b	68.88 	69.14 	72.99 	76.16 	83.81 
I_IUMD,I5_8,PC_IND,EL	37.45 	45.06 	59.31 	64.33 	70.68 	75.68 	77.73 	83.67 
I_IUMD,I5_8,PC_IND,ES	58.47 	73.40 	84.00 	86.60 	91.37 	93.76 	94.52 	96.45 
I_IUMD,I5_8,PC_IND,EU27_2007	55.32 	62.86 	72.20 	76.48 	78.10 	83.23 	86.11 	: 
I_IUMD,I5_8,PC_IND,EU27_2020	50.58 	59.67 	69.45 	74.27 	75.47 	81.16 	84.26 	88.47 
